GridID,NextDownID,Length
480422,480365,1.224
480387,480372,0.2
480396,480372,0.241
480315,480375,0.966
480374,480375,0.866
480159,480376,1.424
480241,480376,1.024
480237,480386,2.514
480385,480386,0.583
480283,480387,1.207
480386,480387,0.5
480454,480388,0.483
480455,480388,2.214
480217,480389,1.324
480375,480389,0.341
480287,480390,1.349
480376,480390,0.141
480326,480395,0.624
480394,480395,0.6
480204,480399,1.507
480333,480399,0.666
480316,480400,0.724
480359,480400,1.366
480320,480401,0.949
480336,480401,0.583
480351,480414,0.966
480413,480414,0.866
480355,480415,0.724
480398,480415,0.866
480457,480416,1.466
480478,480416,1.324
480331,480417,1.324
480340,480417,0.624
480037,480421,2.938
480362,480421,1.066
480300,480434,1.024
480415,480434,1.566
480460,480435,0.341
480505,480435,0.1
480389,480436,0.341
480418,480436,0.241
480401,480438,0.283
480423,480438,0.583
480179,480452,2.197
480414,480452,0.983
480452,480453,0.341
480474,480453,0.783
480514,480454,0.141
480515,480454,0.383
480356,480457,0.724
480458,480457,1.066
480357,480459,0.766
480435,480459,2.307
480419,480461,0.1
480436,480461,1.307
480240,480462,1.624
480420,480462,0.541
480224,480463,1.707
480439,480463,0.583
480269,480475,1.466
480395,480475,0.566
480416,480494,3.997
480434,480494,0.341
480399,480495,0.707
480459,480495,0.241
480358,480497,0.924
480400,480497,0.766
480337,480498,1.041
480463,480498,0.683
480328,480502,1.307
480339,480502,1.814
480373,480505,0.966
480506,480505,1.083
480507,480506,0.241
480532,480506,1.224
480207,480508,2.631
480498,480508,0.241
480504,480530,0.241
480516,480530,0.141
480555,480532,0.341
480584,480532,0.4
480421,480534,1.09
480480,480534,0.624
480301,480544,2.114
480529,480544,0.383
480543,480544,2.124
480482,480547,0.583
480548,480547,0.3
480377,480548,1.266
480562,480548,0.824
480579,480548,2.19
480496,480555,0.541
480556,480555,0.1
480533,480556,0.241
480557,480556,0.941
480545,480557,0.483
480664,480557,1.59
480437,480558,0.8
480517,480558,0.624
480561,480560,2.024
480596,480560,0.2
480327,480571,2.031
480475,480571,0.924
480502,480573,0.866
480503,480573,0.666
480530,480574,0.424
480531,480574,0.383
480462,480576,0.8
480497,480576,2.331
480634,480577,2.99
480650,480577,0.2
480534,480578,0.424
480577,480578,1.066
480508,480579,0.966
480598,480579,0.283
480461,480585,2.373
480576,480585,0.141
480477,480594,1.124
480572,480594,0.383
480494,480595,0.841
480611,480595,1.166
480294,480597,1.824
480546,480597,0.1
480637,480598,0.341
480638,480598,0.283
480542,480608,0.924
480573,480608,0.383
480417,480612,1.466
480575,480612,2.756
480481,480614,1.166
480578,480614,0.524
480453,480627,2.356
480645,480627,0.966
480476,480628,1.714
480554,480628,0.541
480544,480630,0.683
480631,480630,1.066
480587,480632,0.524
480588,480632,0.3
480707,480634,0.541
480791,480634,1.524
480223,480636,3.646
480438,480636,1.649
480652,480638,1.207
480669,480638,0.3
480612,480647,0.241
480648,480647,0.524
480686,480650,0.3
480687,480650,0.441
480709,480652,0.783
480759,480652,0.141
480571,480660,0.766
480628,480660,0.283
480614,480666,0.383
480665,480666,0.441
480390,480683,2.107
480684,480683,2.066
480559,480684,0.924
480560,480684,2.914
480705,480684,1.79
480547,480689,2.673
480636,480689,0.3
480597,480708,1.731
480668,480708,0.241
480599,480709,0.641
480724,480709,0.866
480558,480721,1.166
480613,480721,0.766
480632,480723,0.541
480633,480723,0.966
480725,480724,0.724
480794,480724,0.2
480649,480735,1.507
480721,480735,0.1
480651,480736,0.541
480667,480736,2.266
480689,480737,0.707
480708,480737,1.59
480595,480753,1.19
480629,480753,1.949
480574,480754,1.39
480662,480754,0.583
480586,480756,1.349
480683,480756,0.924
480688,480758,0.524
480757,480758,1.207
480647,480773,0.966
480772,480773,0.6
480495,480774,1.966
480663,480774,5.356
480585,480776,1.224
480755,480776,6.536
480706,480777,0.666
480723,480777,0.341
480737,480778,0.241
480793,480778,2.58
480734,480789,1.224
480753,480789,0.283
480363,480792,3.114
480666,480792,1.69
480945,480793,1.507
480946,480793,1.207
480832,480794,0.483
480833,480794,1.366
480660,480805,1.007
480788,480805,0.241
480661,480807,2.931
480827,480807,2.514
480630,480808,1.124
480807,480808,0.3
480722,480809,0.624
480735,480809,0.566
480518,480810,2.107
480790,480810,0.741
480594,480825,1.424
480770,480825,0.824
480826,480827,1.124
480885,480827,0.924
480704,480829,2.324
480774,480829,0.3
480775,480830,1.124
480842,480830,2.273
480635,480831,1.307
480844,480831,1.166
480928,480842,1.049
480984,480842,0.241
480479,480843,3.87
480756,480843,0.624
480758,480844,0.807
480858,480844,0.907
480610,480857,1.731
480806,480857,1.973
480786,480864,0.907
480787,480864,0.541
480736,480865,0.966
480866,480865,1.166
480608,480882,2.338
480609,480882,1.99
480789,480884,0.683
480898,480884,0.283
480841,480897,4.697
480884,480897,0.141
480899,480898,3.89
480926,480898,2.107
480831,480903,0.824
480902,480903,0.766
480720,480912,0.883
480828,480912,0.683
480754,480913,1.166
480912,480913,2.514
480996,480926,0.3
481202,480926,3.904
480900,480929,0.283
480914,480929,0.441
480792,480930,1.39
480865,480930,0.524
480857,480938,1.149
480882,480938,0.483
480808,480940,0.983
480927,480940,0.683
480887,480944,0.483
480903,480944,0.424
481009,480946,1.249
481035,480946,1.207
480685,480952,2.29
480943,480952,0.941
480777,480953,1.507
480970,480953,0.2
480931,480954,0.441
480944,480954,0.141
480778,480955,1.79
480956,480955,1.166
480570,480964,3.304
480963,480964,0.1
480883,480965,0.6
480951,480965,0.141
480978,480966,0.141
480997,480966,0.524
480940,480967,0.241
480966,480967,0.966
480843,480969,0.9
481223,480969,4.828
480864,480975,0.883
480964,480975,1.141
480733,480976,1.724
480950,480976,0.383
480646,480977,2.69
480939,480977,0.824
480773,480980,1.566
480941,480980,0.924
480999,480981,0.1
481028,480981,1.631
480886,480985,0.7
480901,480985,0.849
481027,480997,0.883
481061,480997,1.166
480829,480998,1.449
480981,480998,3.39
480982,480999,0.1
480983,480999,0.141
480810,481008,1.707
480953,481008,2.249
481053,481009,1.224
481071,481009,0.941
480805,481025,1.707
480937,481025,1.349
480952,481032,0.707
481031,481032,0.1
480985,481034,0.341
480986,481034,1.124
480840,481043,1.731
480975,481043,0.766
480936,481044,0.4
480995,481044,0.683
480627,481045,3.097
481044,481045,2.466
480911,481046,1.024
480965,481046,0.624
481048,481049,0.141
481063,481049,0.383
480968,481050,0.583
481049,481050,1.341
480955,481051,1.107
481052,481051,2.631
481010,481053,4.238
481133,481053,1.183
481218,481061,0.141
481219,481061,0.883
481131,481063,3.863
481132,481063,0.483
480998,481064,0.441
481050,481064,0.141
480830,481066,2.614
480942,481066,0.8
481065,481066,1.024
481029,481067,0.283
481092,481067,0.141
481008,481069,0.341
481070,481069,0.2
480913,481087,1.914
480979,481087,0.683
481047,481089,0.341
481062,481089,0.141
481118,481090,0.624
481184,481090,0.907
481066,481091,0.141
481090,481091,2.231
481030,481093,0.3
481067,481093,0.541
480954,481098,1.007
481097,481098,0.341
480896,481117,1.549
481046,481117,1.124
481032,481120,0.583
481069,481120,0.283
481043,481130,0.666
481163,481130,2.014
481304,481133,0.341
481305,481133,1.083
480980,481137,0.941
481088,481137,1.024
480881,481147,2.656
480938,481147,1.383
481064,481149,0.541
481300,481149,4.931
480776,481150,2.814
481138,481150,0.241
481051,481152,1.549
481098,481152,0.483
481059,481164,1.007
481117,481164,0.4
481091,481166,0.766
481165,481166,1.79
481033,481168,0.924
481151,481168,0.141
481026,481181,1.024
481148,481181,1.024
481289,481182,0.924
481342,481182,0.707
480967,481183,2.897
481182,481183,1.931
